Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 58.480000 | 47        | 54        | 182       | 0.009     | (117, 107)| (93, 66)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 69.300000 | 57        | 85        | 221       | 0.0105    | (137, 150)| (111, 183)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 77.790000 | 70        | 1066      | 1193      | 0.0951    | (67, 243) | (102, 227)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 76.890000 | 65        | 767       | 1002      | 0.0345    | (115, 92) | (65, 100) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 64.070000 | 53        | 54        | 170       | 0.0024    | (117, 260)| (65, 278) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 60.940000 | 47        | 467       | 702       | 0.0217    | (103, 208)| (140, 168)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 61.690000 | 58        | 59        | 192       | 0.003     | (82, 143) | (140, 134)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 90.400000 | 74        | 153       | 360       | 0.0069    | (70, 184) | (125, 179)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 64.020000 | 55        | 72        | 226       | 0.0036    | (59, 105) | (110, 93) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 77.710000 | 65        | 128       | 274       | 0.0057    | (84, 96)  | (127, 111)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 61.480000 | 50        | 172       | 311       | 0.0077    | (52, 154) | (84, 176) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 69.970000 | 63        | 1248      | 1423      | 0.0949    | (89, 145) | (77, 171) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.580000 | 53        | 55        | 221       | 0.009     | (116, 139)| (78, 188) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 69.430000 | 60        | 61        | 195       | 0.009     | (61, 269) | (121, 250)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 66.940000 | 53        | 683       | 895       | 0.0755    | (115, 119)| (78, 101) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 66.530000 | 53        | 54        | 204       | 0.006     | (97, 77)  | (44, 104) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 65.560000 | 59        | 879       | 1090      | 0.0817    | (109, 98) | (159, 99) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 67.120000 | 54        | 55        | 231       | 0.0054    | (136, 187)| (168, 133)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 71.710000 | 59        | 71        | 239       | 0.006     | (85, 72)  | (106, 17) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 69.940000 | 56        | 58        | 196       | 0.0045    | (34, 95)  | (90, 69)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.120000 | 55        | 60        | 216       | 0.0031    | (75, 74)  | (104, 30) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 72.940000 | 59        | 62        | 206       | 0.0034    | (100, 138)| (73, 194) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.630000 | 51        | 52        | 234       | 0.0034    | (62, 105) | (105, 54) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 69.760000 | 55        | 57        | 218       | 0.0032    | (105, 86) | (73, 141) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 71.710000 | 59        | 60        | 244       | 0.0038    | (158, 165)| (99, 196) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 78.940000 | 65        | 81        | 247       | 0.0038    | (110, 205)| (84, 258) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.300000 | 56        | 57        | 219       | 0.0034    | (42, 133) | (89, 96)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 69.250000 | 59        | 60        | 215       | 0.0031    | (131, 263)| (102, 212)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 72.740000 | 67        | 76        | 181       | 0.003     | (139, 159)| (146, 95) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 70.380000 | 63        | 64        | 215       | 0.0031    | (54, 181) | (117, 195)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 70.330000 | 65        | 1735      | 1902      | 0.0789    | (120, 152)| (132, 162)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 75.660000 | 65        | 2168      | 2310      | 0.147     | (69, 179) | (69, 152) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 81.710000 | 69        | 73        | 219       | 0.0101    | (116, 199)| (128, 131)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 80.840000 | 71        | 72        | 201       | 0.0065    | (132, 260)| (61, 272) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 85.300000 | 73        | 1953      | 2201      | 0.1773    | (86, 206) | (78, 137) | ./example/gridmap/arena2.map| Hidden              
