Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 64.430000 | 55        | 522       | 616       | 0.0144    | (85, 72)  | (106, 17) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 66.660000 | 56        | 584       | 709       | 0.0175    | (34, 95)  | (90, 69)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 63.660000 | 53        | 511       | 621       | 0.0144    | (75, 74)  | (104, 30) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.840000 | 59        | 888       | 1029      | 0.0264    | (100, 138)| (73, 194) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.630000 | 51        | 387       | 569       | 0.0121    | (62, 105) | (105, 54) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.120000 | 55        | 521       | 680       | 0.0158    | (105, 86) | (73, 141) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 71.710000 | 59        | 839       | 995       | 0.025     | (158, 165)| (99, 196) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 67.790000 | 60        | 849       | 989       | 0.0252    | (110, 205)| (84, 258) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 67.480000 | 56        | 775       | 910       | 0.0233    | (42, 133) | (89, 96)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 67.610000 | 59        | 607       | 731       | 0.0176    | (131, 263)| (102, 212)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 69.460000 | 67        | 130       | 270       | 0.0038    | (139, 159)| (146, 95) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 68.740000 | 63        | 578       | 718       | 0.017     | (54, 181) | (117, 195)| ./example/gridmap/arena2.map| Hidden              
